CD Rank,Colleges
#10,"SRMIST Delhi NCR Campus, Ghaziabad"
#1,"University Institute of Engineering and Technology - [UIET], Kanpur"
#2,"SRM, Institute of Technology, Lucknow"
#3,"Greater Noida Institute of Technology, IPU - [GNIT], Greater Noida"
#4,"Greater Noida Institute of Technology (Engineering Institute), Greater Noida"
B.Tech (Lateral) Computer Science & Engineering,N/A
B.Tech (Lateral) Civil Engineering,N/A
B.Tech (Lateral) Electrical Engineering,N/A
B.Tech {Lateral} Artificial Intelligence,N/A
B.Tech (Lateral) Information Technology,N/A
#5,"Rajiv Gandhi National Aviation University - [RGNAU], Amethi"
#6,"Santosh University, Ghaziabad"
#7,"Birla Institute of Technology - [BIT], Noida"
#8,"Shobhit University, Gangoh"
#9,"Maharishi University of Information Technology - [MUIT], Lucknow"
#10,"Vidya Knowledge Park - [VKP], Meerut"
#1,"Jaypee University Anoopshahr, Bulandshahr"
#2,"Rajkiya Engineering College - [RECK], Kannauj"
#3,"Anand Engineering College - [AEC], Agra"
#4,"G L Bajaj Institute of Technology and Management, Greater Noida"
B.Tech Artificial Intelligence,N/A
#5,"Kamla Nehru Institute of Technology - [KNIT], Sultanpur"
#6,"Saroj Institute of Technology and Management - [SITM], Lucknow"
B.Tech Biomedical Engineering,N/A
#7,"Babu Banarasi Das Northern India Institute of Technology - [BBDNIIT], Lucknow"
#8,"Rajkiya Engineering College [REC], Banda"
#9,"Rajkiya Engineering College - [REC], Ambedkar Nagar"
#10,"Era University - [EU], Lucknow"
#1,"Bareilly International University - [BIU], Bareilly"
#2,"Rajkiya Engineering College - [REC], Sonbhadra"
B.Tech Mining Engineering,N/A
#3,"KIPM College of Engineering and Technology - [KIPM], Gorakhpur"
#4,"Feroze Gandhi Institute of Engineering and Technology - [FGIET], Rae Bareli"
B.Tech Aeronautical Engineering,N/A
#5,"Institute of Engineering and Rural Technology - [IERT], Allahabad"
#6,"KCC Institute of Technology and Management - [KCCITM], Greater Noida"
#7,"Maharana Pratap Engineering College - [MPEC], Kanpur"
#8,"Mangalmay Institute of Engineering and Technology - [MIET], Greater Noida"
#9,"Mohammad Ali Jauhar University, Rampur"
#10,"United Group of Institutions - [UGI], Allahabad"
#1,"Institute of Management Research and Technology - [IMRT], Lucknow"
#2,"Rajkiya Engineering College -[RECM], Mainpuri"
#3,"IAMR Group of Institutions - [IAMR], Ghaziabad"
#4,"Mahatma Gandhi Kashi Vidyapith - [MGKVP], Varanasi"
#5,"Aligarh College of Engineering and Technology - [ACET], Aligarh"
#6,"Allenhouse Institute of Technology, Kanpur"
#7,"Indian Institute of Carpet Technology - [IICT], Bhadohi"
#8,"Vishveshwarya Group of Institutions - [VGI], Greater Noida"
