CD Rank,Colleges
#2,"Dr Babasaheb Ambedkar Marathwada University - [BAMU], Aurangabad"
#3,"Vivekanand Education Society's College of Architecture - [VESCOA], Mumbai"
#4,"IES College of Architecture, Mumbai"
#5,"RC Patel Institute of Technology - [RCPIT], Shirpur"
B.Tech Artificial Intelligence and Machine Learning,N/A
#6,"St.  Francis Institute of Technology - [SFIT], Mumbai"
#7,"ATLAS SkillTech University, Mumbai"
#8,"Atharva College of Engineering, Mumbai"
#9,"Don Bosco Institute of Technology - [DBIT], Mumbai"
#10,"Government College of Engineering - [GECA], Aurangabad"
#1,"PES College of Engineering - [PESCOE], Aurangabad"
B.Tech Electronics and Computer Engineering,N/A
B.Tech Mechanical & Automation Engineering,N/A
#2,"Symbiosis Institute of Technology - [SIT], Pune"
#3,"Terna Engineering College Navi Mumbai, Mumbai"
BE Electronics Engineering,N/A
#4,"Vivekanand Education Society Institute of Technology - [VESIT], Mumbai"
BE Robotics and Automation,N/A
#5,"International School of Engineering - [INSOFE], Mumbai"
#6,"Government College of Engineering - [GCOEA], Amravati"
#7,"Rizvi College of Engineering - [RCOE], Mumbai"
BE Civil Engineering,N/A
#8,"Shri Guru Gobind Singhji Institute of Engineering and Technology - [SGGSIE&T], Nanded"
#9,"MIT Academy of Engineering - [MITAOE], Pune"
#10,"AISSMS College of Engineering - [AISSMSCOE], Pune"
BE Robotics and Automation,N/A
#1,"DKTE Society's Textile and Engineering Institute - [DKTE], Kolhapur"
#2,"GS Mandal's Marathwada Institute of Technology - [MIT], Aurangabad"
B.Tech Electronics & Computer Engineering,N/A
B.Tech Agricultural Engineering,N/A
#3,"Jayawantrao Sawant College of Engineering- [JSCOE], Pune"
#4,"MIT-WPU Faculty of Engineering, Pune"
#5,"Maharashtra Institute of Technology - [MIT], Aurangabad"
#6,"Pillai College of Engineering - [PCE] Navi Mumbai, Mumbai"
B.Tech Electronics & Computer Science,N/A
B.Tech Automobile Engineering,N/A
#7,"Pune Institute of Computer Technology- [PICT], Pune"
#8,"International Institute of Information Technology - [I²IT], Pune"
#9,"Dhanwate National College - [DNC], Nagpur"
#10,"Central India College of Education, Nagpur"
#1,"Sandip University, Nashik"
#2,"Government College of Engineering - [GCOEN], Nagpur"
#3,"Abhinav Education Society's College of Computer Science and Management, Ambegaon"
#4,"Vasantdada Sugar Institute - [VSI], Pune"
#5,"JSPM Narhe Technical Campus - [JSPM NTC] Narhe, Pune"
#6,"Priyadarshini College of Engineering - [PCE], Nagpur"
BE Robotics & Artificial Intelligence,N/A
BE Aeronautical Engineering,N/A
#7,"Sri Balaji University, Pune"
#8,"Kohinoor Technical Institute - [KTI], Mumbai"
#9,"NMIMS Balwant Sheth School of Architecture - [BSSA], Mumbai"
#10,"Vasantrao Naik Mahavidyalaya, Aurangabad"
#1,"Bharati Vidyapeeth College of Engineering - [BVCOE], Kolhapur"
#2,"Dhole Patil College of Engineering - [DPCOE], Pune"
BE Automobile Engineering,N/A
#3,"Shah and Anchor Kutchhi Engineering College - [SAKEC], Mumbai"
BE Advanced Communication Technology,N/A
#4,"Theem College of Engineering - [TCOE], Palghar"
BE Automobile Engineering,N/A
#5,"Xavier Institute of Engineering - [XIE], Mumbai"
BE Internet of Things,N/A
BE IOT & Cyber Security Including Blockchain,N/A
#6,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati, Pune"
#7,"NMIMS School of Hospitality Management - [SOHM], Navi Mumbai"
#8,"Jawaharlal Nehru Engineering College - [JNEC], Aurangabad"
#9,"M H Saboo Siddik College of Engineering - [MHSSCOE], Mumbai"
#10,"Aurangabad College of Engineering - [ACE], Aurangabad"
#1,"D. Y. Patil College of Engineering, Pune"
#2,"Government College of Engineering - [GCOE], Jalgaon"
#3,"National Institute of Electronics and Information Technology - [NIELIT], Aurangabad"
B.Tech Electronics System Engineering,N/A
#4,"Sanjivani College of Engineering, Ahmednagar"
B.Tech Mechatronics,N/A
#5,"Dnyansagar Institute of Management and Research - [DIMR], Pune"
#6,"Kavikulguru Institute of Technology and Science - [KITS], Nagpur"
BE Computer Technology,N/A
#7,"SIES Graduate School of Technology - [SIES-GST], Navi Mumbai"
#8,"SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala, Pune"
#9,"Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon, Pune"
BE Production Engineering,N/A
#10,"K. C. College of Engineering And Management Studies And Research, Thane"
#1,"A. P. Shah Institute of Technology - [APSIT], Thane"
BE Data Science,N/A
#2,"Vidyavardhini's College of Engineering and Technology - [VCET], Palghar"
BE Data Science,N/A
#3,"Suvidya Institute of Technology - [SIT], Mumbai"
#4,"P.A. Inamdar College of Visual Effects, Design & Arts - [VEDA] Extension Centre, Pune"
#5,"Amrutvahini College of Engineering - [AVCOE], Ahmednagar"
#6,"Government College of Engineering - [GCE], Chandrapur"
#7,"Nagpur Institute of Technology - [NIT], Nagpur"
BE Computer Science and Engineering,N/A
#8,"Progressive Education Society's Modern College of Engineering - [MCOE], Pune"
#9,"Walchand Institute of Technology - [WIT], Solapur"
#10,"Sanpada College of Commerce and Technology - [SCCT], Navi Mumbai"
#1,"A. C. Patil College of Engineering - [ACPCE], Navi Mumbai"
#2,"Vasantdada Patil Pratishtan's College of Engineering & Visual Arts, Mumbai"
#3,"JD College of Engineering and Management, Nagpur"
#4,"Shree L. R. Tiwari College of Engineering - [SLRTCE], Thane"
#5,"Ajeenkya DY  Patil University - [ADYPU], Pune"
#6,"H.V.P.Mandal's College of Engineering & Technology, Amravati"
#7,"Yashwantrao Mohite College, Pune"
#8,"MKSSS’s Dr. Bhanuben Nanavati College of Architecture for Women - [BNCA], Pune"
#9,"Kamla Raheja Vidyanidhi Institute of Architecture and Environmental Studies - [KRVIA], Mumbai"
#10,"Pune Institute of Aviation Technology, Pune"
#1,"Cusrow Wadia Institute of Technology, Pune"
#2,"Gharda Institute of Technology-[GIT], Ratnagiri"
BE {Lateral} Artificial Intelligence & Machine Learning,N/A
#3,"Konkan Gyanpeeth College of Engineering - [KGCE], Karjat"
#4,"Modern Education Society's Wadia College of Engineering - [MESWCOE], Pune"
